Applicant_ID,Current_position,Current_jd
2412,Ride Jock welder carpet installer,set up rides ran the ride  n maitienced the rides welder n fab installed carpet n vynle
2414,Technology Consultant,Call Center technology
2415,Accounts/Payroll,Happily Work at OilStates Tulsa Barlow Hunt!
2416,assembly cook assembly,"made, cleaned, labeled and packed candles cooked, cleaned, sorted orders and cut vegetables made lawn mower motors before machines were approved"
2422,Sales Development Executive Customer Engagement Specialist Marketing Intern Analyst at Corporate Lending Products Department,"Jaroslav has worked from July 2013 on the Central London Sales Project at Mondelez International. He supported repositioning and implementing sales growth within a client base of 100 plus retailers. The activities Jaroslav is invoved in include:

•	Gaining a clear understanding of customers’ business needs as well as reviewing sales performance and aiming to meet or exceed targets.
•	Negotiating terms and closing deals, enabling clients to maximise sales value by building credible and loyal customer base and ensuring ROI.
•	Acting as a point of contact between company and its existing ant potential markets.

In addition, he also acts as a division representative showcasing the changing trends, challenges and provides with convincing recommendations. In a newly-established NOW TV department, Jaroslav worked with external brand agencies and management on social media strategy. He identified and improved effectiveness of the communication channels ensuring exceptional customer service. 

Jaroslav also assisted management in day-to-day business operations and managed communities in social networking platforms; used CRM packages to exceed customer expectations and provide complementary product packages. OscarMike gets brands on the move. A marketing agency and a collective of smart, driven people consulting on and creating UK-centric culture.

Jaroslav liaised closely with founder on daily management of digital projects  and provided  digital strategy solutions for clients such as John Lobb, Bacardi and the Bright Network. He prepared recommendations for John Lobb rebranding strategy focused on customers‘ online experience. In addition to this, Jaroslav supervised the Bright Network Festival 2012 and delivered optimal customer satisfaction for over 1,400 attendees. Jaroslav worked on investment products analysis across the Baltic States to find discrepancies; presented the analysis to senior team members and suggested further product harmonisation. In addition, he showcased the changing trends in loan extension process and provided with convincing recommendations that led to early alteration plans. 

Outside the department, Jaroslav conducted a best practice analysis of product offering found globally and prepared recommendations for Swedbank’s existing product packages enhancement."
2423,Pizza Delivery Inventory Associate,Delivered Pizza in Caldwell. I also prepped food and cooked wings. I checked merchandise for defects and organized products into correct bins after shipment.
2424,Feild Worker,"Weeding
Harvesting
Helping in the farmers market"
2425,Runner Host Secretary,Worked directly with the chef to expedite and deliver food Host and reservationist for busy restaurant in TriBeca Rolled calls and proofread legal documents 
2427,wait staff,I waited on the residents and brought their food to the tables. I also cleaned and prepared food
2428,Office Assistant/Appointment Clerk/Medical Records-Bilingual,Register new and existing patients; do intake data entry; retrieve/collect charts;interpret;schedule appointments; take payments and process Rx authorizations
2430,Crew member,"I am a cashier as well as an assistant cook, but I can also work at all the other positions."
2431,Dental Assistant Dental/Surgical Assistant,Chairside Assstant Office Supervisor
2432,Security Officer,security officer for carefusion
2433,Rehab Homes,Rhab HOMES
2435,Production,"worked in special ops. receing dept. packing dept.
"
2438,Conducted phone surveys,I conducted various phone surveys with companies.
2439,CSR,Call Center
2444,Car Detailer Manager,"I mainily, wash and detail new, used, and rental cars.  Ensure everyone of my workers are doing what they are supposed to. Make sure the park is running smoothly with no problems. "
2446,server,"I served tables, running food, drinks and anything else that needed to be done."
2448,Writer/Editor,wrote thought leradership pieces for business leaders. Researched and wrote about best practice companies. Provided writing and editing support for responses to Requests for Proposals (RFPs).
2452,Department Administrative Assistant,"Departmental responsibilities included electronic time-keeping, ordering supplies, tracking receivables and payables, preparing staff meeting agendas, meeting preparation duties and coordinating admission process for volunteers to work on clinical research studies with MIHS physicians."
2456,Men's Shoes Supervisor Teacher Aide,retail supervisor  teacher aide
2457,sewing machine operator truck unloader overnight stocker,"Sewed together vinyl bags. Unloaded freight from truck, separate merchandise & take merchandise to sales floor. Sort freight & place merchandise in it's proper location on the sales floor."
2460,Senior software engineer,Develop worx home
2461,Texas Works Advisor Texas Works Supervisor Adminstrative Assistant,"I currently  work for this State of Texas Agency, as an advisor.  Interviewing applicants applying for public assistance, certifying them if eligible, gathering information to determine the eligibility of these federal and state assistance programs. Supervised 14 employees who interviewed  recipients/clients applying for public assistance.  Ensured that the applications were completed accurately and in a timely manner  Handle any client inquiries or complaints and made sure they were resolved.  Completed semi annual and annual evaluations for each employee under my supervision  Answered telephone inquiries; directed incoming calls to appropriate staff, i.e., supervisors, program manager, advisors, sorted incoming and outgoing mail, scheduled appts, meetings, training for staff members.  Kept itinerary for immediate supervisor, emailed monthly calendars to staff under her supervision"
2462,Cashier Waitress,"I was a cashier, cook, dishwasher, and stock girl. I was a waitress, dishwasher, and a cashier!"
2469,Parks and Recreation,"Organize an keep the park safe, and in a orderly manner."
2471,Graduate Research Assistant Graduate Teaching Assistant Project Manager Assistant Professor Project Manager Software Consultant Design Engineer Design Engineer,"As a part of the Data Lab, at the School of Information at University of Washington I have been working on different problems related to Big Data like Churn Prediction and Social Network Analysis As a Graduate Teaching Assistant, my responsibilities were to assist Dr. Joshua Blumenstock in the course Intro to Data Sciences offered to Graduate Students in the School of Information at University of Washington.
In addition to grading assignments, I also conducted special tutorial sessions on R and AWS Working on innovative enterprise software products involving Server side, Web, Desktop and Mobile Components. Taught courses: Mobile Application Development, Next Generation Networks, Network Programming and Communication Protocols, Discrete Mathematics, Design and Analysis of Algorithms, Data Structures, Object Oriented Programming, Introduction to Programming Working as the head of software development unit. Main focus of this unit is to develop innovative telecom and smart phone applications

Currently I am leading the development effort on developing innovative VoIP applications for smart phones In my first stint with Turnotech, I worked on the designing new billing solutions for the GSM Vendors. This design also incorporated the integration with legacy equipment and systems.
This billing solution was shortlisted by companies like Special Communication Organization, Pakistan, but was not ultimately selected due to the availability of cheaper solution from ZTE. Worked on the design, implementation and testing of a secure, multi interface (GPRS, VHF, Dialup, and SMS) communication gateway for mobile nodes using technologies like C, C++ and Visual C++.
Tools for remote management and error diagnostics were also developed Implementation of Internet Key Exchange protocol for the PLUS RTOS.
Testing of the IKE implementation was also done using IXIA ANVL test suites"
2472,Office Coordinator Community Educator / Volunteer Coordinator Customer Service Manager,"Coordinated transport of flatbed freight thoughout the United States and Canada. Negotiated rates and schedules with customers and agents. Planned all route and fuel stops, ordered and processed required permits and assured compliance with all regulatory agencies. Raised community awareness about hospice services, by organizing various community  events and seminars. Recruited, trained and placed volunteers according toedicate guide lines. Worked closely with the hospice team to develop and implement the patient's plan of care. Helped customers with their shopping needs, handled complaints and trained associates. Provided associates with weekly work schedules and worked closely with the display department to execute floor plans and special in store events."
2474,Accounts Receivable and Billing,Serviced all Student Accounts. Produced billing and statements. Logged payments. Worked with confidential material.
2475,Claims processor Administrative Assistant,"Processesd medical claims Answered phones,data entry,Responsible for expense checks for drivers while auditing receipts for accuracy.Filing.faxing,copying."
2478,Listing Manager Granger Student Ministries Event Coordinator,"Process and maintain all listing and pending transactions. Plan and oversee all students ministry events including mission trips, camps, retreats, and other various events throughout the year."
2483,V P Operations,"•Directed RAD’s North American Telecommunications customer support operations in providing Telcom products to carriers, ISP's, cellular networks, and corporate users.
•Reviewed, selected and audited local contract manufacturers for RAD product production and distribution.  
•Implemented successful ISO 9001 and TL 9000 Quality certification in less than 7 months. Three triennial re-certifications resulted with no non-conformities. 
•Decreased customer response time in order processing, response to inquiries and order shipments through ongoing process changes, alerts and KPI measurements. 
•Took company leadership role in development of Business Continuity Planning.
•Successfully managed facility upgrades within budget to include office expansions, backup power generation, HVAC and fire suppression for server room. 
•Improved inventory accuracy to greater than 99%
"
2485,Owner Focus Group Recruiter Business Development Agent Consult Agent,Self employed as a general IT consultant with a focus on reducing costs and increasing productivity for small businesses. Independent representative responsible for finding IT professionals to participate in market research focus groups. Generated leads for CA and Sun Microsystems solutions Advised tier 1 agents as to how to best assist customers with their technical and billing issues. 
2487,Digital Key Account Executive Industrial Account Manager District Sales Manager Account Representative,"- Grow market share within a designated territory or account list through the combination of acquiring new business and increasing share within the existing client base.
- Strategize with sales team members to plan and execute multimedia marketing campaigns; effectively collaborate to develop and execute strategies to gain digital market.
- Leverage Enquirer Media digital product portfolio in developing marketing solutions that deliver ROI to meet clients’ business objectives.
- Understand market competitors and execute strategies for selling against the competition.
- Utilize sales tools and research to articulate the value of our portfolio. - Develop and maintain sales relationships with all levels/sizes of customers.
- Sells products and services to existing and new customers in the field.
- Interact with both customers and vendors to complete sales orders and follow them through the invoicing process.
- Provide technical sales support and product consulting to customers.
- Support business development efforts directly.
- Cultivate and grow customer base.
- Maximize financial results.
- Support efforts to exceed sales goals, increase market share and improve customer satisfaction.
- Handle special projects as assigned. Responsible for driving share holder value through the maximization of market share, sales and profits.  Effectively lead trade execution through the management of field personnel within a designated territory.
•	Staff, train, evaluate & develop team members through daily conference calls, market rides and weekly sales meetings.
•	Directly responsible for the management, planning and administration of sales in a designated sales territory.
•	Manage sales, profit, operational expenses for a district that covers over 450 accounts & 3.8 million in annual revenue.
•	Establish and maintain positive customer relationships.
•	Monitor market execution, profitability & responsible for 8-13 sales reps. Responsible for over 150 accounts with sales exceeding $300,000.00 per year
•	Exceeded all goals and objectives for 6 consecutive campaigns 
•	Offered promotion to Associate Sales Manager
•	Ranked 1st in 2007 for increased revenue to existing clients
•	Finished 2007 at 105% of annual quotas
•	Only representative to bring back a positive net gain in all campaigns"
2489,Executive Assistant Administrative Assistant Technical Writer and Editor; Assistant to the Corporate Counsel Operations Department Secretary,"Multi-tasking executive assistant to financial consultant CEO. Mostly working independently, maintained hard and soft client files for about 200 individuals, interacted daily by phone, in person, and via mail and internet with prospects, clients, and product companies. Prepared a wide variety of forms and documents to facilitate investments and/or changes to 401(K) plans, various IRAs, life insurance policies, mutual funds, and other products, while maintaining complete confidentiality and strict adherence to SEC, FINRA, SIPC, and product companies’ regulations and requirements. Arranged client files in anticipation of client office visits, phone, or Skype meetings by bringing client case notes current, preparing new forms and documents, and updating previous forms, while ensuring all documents, forms, and files were complete and correct prior to client interaction. Upon culmination of client meetings, completed checklists and faxed, mailed, and filed appropriate forms and documents. Supported up to 30 senior management and support staff in Financial Analysis and Planning, Internal Reporting, Operations Controllership, and Internal Audit departments. Daily duties included maintaining calendars, scheduling meetings and conference calls, reserving conference rooms, maintaining office equipment, and ordering supplies. Coordinated travel, including preparing detailed expense reports. Extensive interaction with other departments and administrative team, including senior staff at all levels. Frequently scheduled recurring conference calls with Corporate and Field personnel. Founding member of a team of three that conceived and developed an e-room dedicated to warehousing all types of reference information, available to Administrative Assistants company-wide, beginning with those at the Corporate office, then eventually including Region and Division staff. My proofreading and editing skills were regularly utilized by a number of other departments to ensure the correct usage of grammar, punctuation, spelling, and adherence to company writing standards. Composed and edited technical manuals for a start-up company, creating documents in Word and PowerPoint. Designed the corporate image for printed documentation. Edited written manuals in compliance with Company standards. Trained other staff on formatting, templates, and consistency. Typed and edited legal documents, including Notary Public duties. Department executive secretary supporting a four-person staff. Duties included daily utilizing Word, Excel, and Access computer programs. Maintained department files; input data into extensive database; frequently interacted with Division Managers and Superintendents on various insurance and personnel issues; ordered and maintained supplies. Responsible for logging, submitting, and tracking liability insurance claims. Many other varied secretarial duties. Responsible for relief receptionist duties (two breaks and lunch daily, plus full days during the regular receptionist’s vacation and sick days). Performed Notary Public duties as required for Company and employee requirements."
2490,Hostess/ Waitress,"Greeted customers, showed them to their seats and served them"
2499,Account Executive,Manage current accounts and acquire new business for our urgent care center
2503,kitmaker,"pulled & picked product,made kits "
2520,Garry Bookwalter LPN-home health care LPN-home health care,"LPN: dispense meds & render treatments. Monitor & cover blood sugars. Colostomy, foley & trach care. Care plans & updates. Schedule & supervise cna's - assisting as needed. LPN:total care-home health care. Meds & tx's. Blood sugars. Colostomy, foley & trach care. Care plans & updates.Assure dr., facility & family aware of changes. LPN:total care-home health care. Meds & tx's. Blood sugars. Colostomy, foley & trach care. Care plans & updates Assure dr., facility & family aware of changes."
2523,"User Experience, Product Manager Research Intern Garden Research and Education Assistant Research Intern Sales and Marketing Research Assistant","●	Designed and managed the development process for two SaaS platforms, one of which being the most popular online vegetable garden planner with over 220k users.
●	Communicated with designers, developers and company executives to design and deliver new features and fix bugs.
●	Researched user analytics and experiences to make decisions about future development goals and solutions to user problems.
●	Customized a CRM system and provided customer support to users of SmartGardener.com and the Smart Management Platform for Landscapers.
●	Created guided walk-through tours and knowledge base documentation to proactively resolve user issues and questions.

Smart Gardener and the Smart Management Platform for Landscapers offer residential and commercial gardeners unparalleled online tools and services to manage small to large-scale food gardens. Smart Gardener allows anyone, from the expert to the time starved novice, access to customize to do lists, detailed plant information, and extensive management information that accelerates success and maximizes yield. The Smart Management Platform for Landscapers is a multi-sided platform that connects novice gardeners with landscaping professionals that possess the expertise and resources to plan, build, and manage backyard gardens. Designed a survey for the City of San Francisco Department of the Environment to gain insight into the usage of community gardens on public lands. Connected with community garden managers to collect survey feedback. Analyzed and compared data with publicly available research and statistics. Worked with city officials create solutions around community garden management and resource allocation. Managed and maintained an organic garden at the University of San Francisco. Planned, promoted, and lead community garden work days. Harvested and delivered produce to the food bank at the Booker T. Washington Community Center. Taught urban gardening skills and ecology to high school students in the Upward Bound Program. Taught gardening literacy to 1st-5th graders at Booker T. Washington Community Center. Researched information on the Bay Area’s most potentially invasive exotic plant species for a publication funded by the Presidio Trust. Communicated with conservation ecologists to finalize the publication’s content. Engaged in hands on ecological restoration of the Presidio of San Francisco. Helped customers on the sales floor and at checkout. Assisted in the production of promotional media including photos and video. Assembled and fixed hard goods for customers. Researched consumer trends in relation to softline retail and apparel brands for a top ranked Wall Street analyst specializing in retail apparel. Edited and prepared research reports before delivery to high stakes investors."
2526,Babysitting,"I cooked, tidied up around the house with the children, made sure they children have done their homework and helped when they didn't understand, made sure they had their baths, can sometimes took them or picked them up from their after school activities."
2528,Staff Substitute Teacher TUTOR SPECIALIST Youth  Worker,"Assist individuals in the community who are in need of clothing, food, and furniture. Enforced administration's policies and procedures in elementary and middle schools Reading tutor for no child leave behind program. Assisted youth with students homework and study skills                                              
                    
"
2530,Judges Secretary,"Judges secretary performed administrative duties, responsible for judges' calendar, typed and prepared correspondence and judges' orders, interacted with various public and private agencies as well as the public, maintained files, answered various inquiries performed a number of administrative duties."
2533,accountant,"all bookkeeping and accounting using quickbooks, accounts payable, accounts receivable, payroll,  monthly financials"
2534,warehouse worker clerk/stocker,"shipping, collecting product and packing them and shipping them off. customer service, stocking, cashier, cleaning store."
2544,Systems Administrator Co-op/Intern,I work in the IT department assisting the employees with their technical issues and needs. I support the infrastructure and users. I also provision and support desktops and servers as well as the back office applications.
2555,CS Stars,"Volunteered in community services, visited colleges, learned professional skills."
2561,"Manager, Monitoring & Evaluation Sr. Research Analyst Research Analyst; Program facilitator, etc. Social Work Intern","I'm now the manager of evaluations @RCSN!! Senior Research Analyst; Social Work Field Instructor; Student Support Research & Metrics Stats, Clinical Research, ""urban at-risk youth of color,"" Jane B. Aron. Community social work for the elderly"
2565,Lead Customer Service Associate Customer Service Manager Head Cashier,"Managed day to day operations.
Maintained relationships with customers.
Promoted and cross sold products. Managed front end staff.
Shopped customer orders.

 Managed front end staff.
Handled customer issues."
2571,Hostess/Waitress,"Greeted guests, waited tables and resolved issues between customers."
2574,Graduate Research Assistant Graduate Research Assistant Facility Engineer – Summer Intern Technician,"Analyzed modern wireless mesh network, programmed Open Source Interconnection layers for IEEE 802.16 Network. 
Applied space time code to mitigate inference and also improve data throughput in a fading channel using Matlab. 
Analyzed MIMO antenna systems and techniques to improve system performance (throughput) and data link using different decoding techniques like Minimum Mean Square-error, Maximum-Likelihood and Zero-Forcing using Matlab software. Created model for waveform management using Software Defined Radios. 
Tested distributed SCA-based Software Defined Radio applications.
Tyco Electronics 									Lynchburg, VA			 Intern 									Aug – Dec 2007.
Monitor performance of a WIMAX based public safety network- monitor the throughput and performed traffic control.
Performed base station upgrades, Linux and Cisco router. Graduate student projects Set up electrical construction in new office buildings Involved in various construction and renovation projects. 
Performed electrical systems repair and maintenance around the campus and Participated in efficient power distribution project."
2579,I consider myself as being self-employed. I write whenever I like.,"Summer Lee is a pen name for an anonymous author. . She is ageless. Writing was a glorified hobby. Her interests are somewhat offbeat. She loves the Bible, and often chooses characters who could have lived in Bible times and write about imaginary friends."
2591,HHA,"Caregiver for older lady, made lunch/dinner/some cleaning, some transportation."
2594,Security officer Security officer,"Checking people Id,patrolling, taking incident reports Main Post Control"
2595,Crew,A lil bit of everything
2597,crew Babysitter,"I took orders and paid out customers. I also presented them with their food. I cared for three young children which included bathing, feeding,and providing activities for them to do."
2598,Asset Analyst,property valuation
2599,Software/Computer Engineer,Develop software to support Hardware in the Loop simulation
2601,warehouse ,"pulled orders, load and unload, clean "
2609,Cashier Associate Sales Rep,"-Arrange decorations or furniture
-Clean rooms or work areas
-Operate food preparation equipment
-Prepare appetizers, salads, or cold dishes
-Prepare beverages
-Provide customer service
-Serve food or beverages
-Use cash registers
-Wash dishes, glassware, or related utensils
Relay food orders and obtain information from individuals. -Marketed various photo packages
-Meeting customers needs.
-Established new accounts
-Adjusted content of sales presentations depending on clients.
-Submitted orders
-Worked with computer programs for PCs
-Gathering current marketplace information on pricing, new products, delivery schedule, merchandising techniques, etc."
2611,Dispatcher  ,Dispatched trucks/loads to specific destinations 
2612,Independent Contract Driver Pigeon Racing Truck Driver (part-time) Temporary Employee (full and part-time) Telemarketing Service Representative Customer Service Representative  Temporary Employee (full and part-time) Telemarketing Supervisor Operator for the Deaf,"Multiple routes serving banks, pharmaceutical, and utility companies in Southeastern and Central PA. 

Pickup and delivery of various interoffice mail, payroll documents, promotional and marketing materials, small equipment and spare parts.

 
 Drove an ISUZU truck full of racing pigeons from pickups in Berks, Lehigh, and Northampton counties to racepoints in the states of West Virginia, Virginia, and Tennessee. 

 
 White and Blue Collar positions performed to their completion: Quality Control Inspector, Visa Card Consultant, Chemical Viscosity Tester, Bill of Lading Writer, Assembler, Shipping Receiving Clerk, Microfilm Microfiche Reader-Printer, Proofreader, Stock Clerk, Print Collator-Burster, Telemarketer, and Door to Door Salesperson.
 Called via auto-dialed telephone on former client homeowners with adolescents who purchased Highlights for Children magazine. Also conducted polling for political parties from the same office.

 
 I.T.C. Group, Bethlehem PA




Initiated outbound calls to senior citizens on Medicare to advise them of their choices on prescription drug plans.
 White and Blue Collar positions performed to their completion: Quality Control Inspector, Visa Card Consultant, Chemical Viscosity Tester, Bill of Lading Writer, Assembler, Shipping Receiving Clerk, Microfilm Microfiche Reader-Printer, Proofreader, Stock Clerk, Print Collator-Burster, Telemarketer, and Door to Door Salesperson.

 
 Responsible for hiring and training up to six telemarketers. Set up appointments for outbound sales staff of three, and helped close offerings of the home and business security units. 

 

01/1991-09/1996

Handled calls from hearing impaired people using TDD/TTY units or software to voice customers using telephones. I’d type what I heard from the hearing, and read off my monitor what was typed from the hearing impaired via headset and computer."
2614,Admissions Advisor,Consulted and sold additional tiers of education to Drs. and Nurses
2618,Financial Counselor,"Insurance verification, authorizations"
2620,Back Office Reception (Temporary),Answered multi line phone system for 4 doctors.  Triage patients and made appointments.  Used EPIC computer system.
2627,Medical Records custodian,I have done several Jobs in the Air Force. I was originally a Vehicle operator/Dispatcher. I now work in the Medical records field organizing and maintaining over 7000 records
2628,Server Assistant Assistant,"Server, kitchen assistant, cleaner Inventory, customer service,
, receiver ,stock, assistant, buyer  Answer calls, make appointments , fill out forms "
2635,Rn rn,Critical care and dialysis experience Case manager
2640,Sports Trainer Office Manager,"Skydive Sports Instructor Payroll, Answering Phones, Scheduling, etc"
2641,greeter data imaging support clerk cashier & greeter,"some cashiering and greeter sorted mail and did scanning sorted mail and scanning plus other jobs ran cash register, greeter"
2651,Wardrobe Personnel Assistant Talent Agent Commercial Trafficking Assistant Recptionst,"maintained wardrobe continuity for various Broadway Productions and television shows. Assisted in all costume changes kept dressing rooms orgainzed  and kept all cotumes in repair Complied client actor submissions for on going movie, theatre and television projects. Sechduled actor auditions. Read copied and distributed scripts for upcomming film, tv and theatrical productions. Responsible for scheduling commercial breaks for over 30 syndicated television programs. Sending commercial codes from sponsors to various television stations across America. Handled all in coming calls, received guests, handled UPS account. Responsible for hiring and supervising interns and volunteers. Assisted in payment of royalties."
2659,Petroleum Landman,Leased and Permitted land and mineral owners.
2666,Administrative Assistant Administrative Assistant Human Resources Assistant,"Basic office work Worked the front desk, Assisted the Office Manager, Ordered Supplies, Checked insurance on patients, ordered test for patients outside facility, ran clinic when Office Manager was out.  EEO representative, taught supervisor training to new supervisors, orientation presenter, secretary duties, on committee for job opportunities."
2671,Secretary Crew Member,"Taking phone calls in a timing manner
Filling and completing orders
Filling papers in an orderly fashion
Greeting customers and assisting them
 Handling cash in the amount of fifty dollars and more
Providing service to the customers
Making sure food is prepared in a timely manner
Lifting and transporting packages
Making sure dishes is clean 
"
2672,Human Resources Administrator HR Assistant,"Benefits, New Hire process, Job Postings, Employee Training Records, Newsletter, Corrective Actions, Pay Raises, Filing, Faxing, Scanning, Orientation, Reports, etc. New Hire Process, Orientation, filing, faxing, Scanning, Answer Phone, Benefits, Testing, assist with recruiting."
2674,Volunteering Volunteering,Working on costumes for special events. Add new books to data base.  Shelve books.
2678,Administrative Assistant,Administrative duties
2685,Executive Officer,Researched and prepared detailed reports for upper-level management; conducted investigations and studies.
2694,carts,clean up the parking lot gather up the carts and stock products
2696,Food Service Worker Cafeteria Aide Nursery Worker Receptionist,"Maintain dining area
Provide exceptional customer service
Train and supervise new staff
Package, label, and stock remade food on retail shelves
Answer phones Wash dishes
Prepare premade food for distribution
Serve food in a serving line
Answer phones Interact with children and teach them about GOD and his love for them.
Implement lesson plans
Take attendance
Supervise  new workers and volunteers in my classroom
 Typed up and filed documents
Answered phones
Greet and assist everyone who comes in the store
Schedule delivery appointments"
2698,Patient observer,Watching suicidal Patient
2701,Therapist,Did psychotherapy with  children and parents
2702,Volunteer Cooridinator Human Resources Assistant HR Generalist/Recruiter,"	Informed interested volunteers of the clearances and requirements for volunteering.
	Provide new volunteers with orientation and training new volunteers as needed.
	Scheduled volunteers to meet the needs of the Library while maximizing volunteer job satisfaction and fulfillment.
	Maintained volunteer records and performs related work as required.
	Put together signup sheets for specific events to coordinate the availability of the volunteers to ensure all slots are filled and the event runs smoothly.
 	Completed employment verification forms for previous Black Box employees. 
	Administered Open Enrollment Benefit packages for all Black Box employees
	Assisted employees with properly completing the Open Enrollment documents
	Updated and validated the benefit information for all Black Box employees nationwide into Benefit Ready CieloStar 
	Entered new hire employees and updated terminated employee records in the Ceridian application.
	Maintained and updated employee information in Cerdian software regularly.  
	Ran adhoc reports via Ceridian and Excel. 
	Worked closely with the Human Resource Generalists and the Employment Specialist daily.
	Created job postings and coordinated communication between applicants and multiple hiring managers throughout the company via the BrassRing website. 
 	Reviewed resumes submitted by Head Hunting Services. Contacted potential candidates to discuss open positions, gained feedback of candidates’ requirements, and passed interested candidates on to the Senior Recruiters. Examples of the positions that were filled include Nuclear Estimator, Civil Structural Engineer, Nuclear Scheduler, FIV Thermal Analysis Engineer, PRISM Engineer, and I&C Software Engineer. In a typical day, 30 to 40 candidates were contacted. Ten candidates were successfully placed. 
	Created an Applicant Tracking System to be used for the Head Hunting Services candidates. The ATS was saved onto the main computer drive and is still used by the recruiting team to this day. 
	Performed employee sourcing activities utilizing the company’s cBiz database, CareerBuilder, Indeed Resume Search, LinkedIn, Facebook, and Anywho.com. Created and searched in a Custom Google Search Engine.
	Updated and maintained the candidate database (cBizSoft). Contacted inactive candidates and entered new candidates into the database.
	Created company pages on LinkedIn and Facebook. Regularly maintained and updated the pages to reflect current company news, events, and job openings.
"
2703,Labor,Clean
2704,Cna/MedTech,I help assist my client at her home throughout the day. I also help her bath and with hygiene. I help with eating throughout the day. I also assist her with toileting and walking throughout the house. Charting and Vitals everyday.
2705,"planner, manager, process operator",worked on a manufacturing line
2707,Project/Program Manager,Program manager for wireless network related programs
2710,Traffic Coordinator Office Coordinator Esthetician Office Administrator/Office Manager Real Estate Administrator Retail Inventory Administrator,"Complete accurate and timely scheduling of trucks to ensure that the flow of product in and out meets customer demands.
Track shipments from pickup through delivery so that accurate, up-to-date information can be provided regarding any shipment.
Negotiate with transportation providers to obtain best rates and service
Active involvement with problem-solving of issues presented.
Codes, and prepares proper paperwork for billing and authorization of a variety of invoices per defined processes
Receive and process transportation requirement requests from customers.
Prepare check payments for bank deposit.
Filing and administrative duties as required. Answer phone calls and interact with patients and internal staff serve as a communication liaison 
Responsible for scheduling and confirming patient appointments, greet with patients and clients	
Very presentable with the proficient ability to maintain professionalism
Conducted careful skin analysis to accurately determine various clients’ needs and provide proper treatment.
Laser Lipo Technician Very presentable with the proficient ability to maintain professionalism. 
Strong technical ability with the relationship building qualities. 
Conducted careful skin analysis to accurately determine various clients’ needs and provide proper treatment.
Exceptionally great skills of skin care and massage application. 
Proven ability to achieve best outcomes and maintain high professional standards. 
Very enthusiastic and self starter. Responsible for scheduling and confirming patient appointments, greet with patients and clients, schedule client conferences, verify patient medical insurance eligibility, billing, request medical records, reports and labs. 
Answer phone calls and interact with attorneys, insurance companies and medical physicians, serve as a communication liaison between patients and internal staff. 
Prepare and process all patient finance medical programs. Responsible for maintaining and updating financial and resident information systems
Order searches (upper courts, county, tax) for new title requests
Prepare and send title commitments and policies to appropriate parties
Answer phone calls and interact with loan officers, attorneys, realtors and the general public, 
Work with the closing department to resolve all underwriting issues, 
Prepare and process all pre-closing paperwork (applications, records, etc.) throughout the entire closing process
Serve as communications liaison between clients and internal staff: respond to general inquiries, manage client correspondence. Promotion from Data Entry Clerk (Catalogue Department) 
Updated database with shoe inventory for nationwide retail stores, 
Provided customer service, Reviewed and implemented customers instructions during counts, Coordinated the operation and completion of inventory counts."
2711,Claims Representative,Provide insureds with quality customer service
2712,Kassie,I have been a babysitter my whole life and its time i get a real job. 
2713,mdot/Flagger,Assured the safety of on the road vehicles on a state highway
2714,Inventory auditor Fountain/Frozen,Take inventory of multiple stores throughout Colorado.  Maintained a clean and safe work environment while providing a quality produce and great costumer service. 
2715,Rides Operator ,"Operation of rides, keep ride area clean, greet guests, responsible for making sure that the guest are locked in the ride safely, and they follow all safety rules at all times while riding the rides. "
2718,"Bookkeeper In Charge, Part Time","Bookkeeping, Accounts Payable, Accounts Receivable, Payroll, Analysis, Bank Reconciliations, Vender Contact, helped at Front Desk as needed"
2721,D.O.T Crew,I love ice cream 
2723,sales clerk Clerk,"sales, arranging furniture groupings, cleaning, filing paper work, bookkeeping, keeping up with hours, working with sales reps when owner was not around, ordering cushions, ordering furniture, assembling furniture, training part time help, making deposits, managing the store when the owner was off or had to go to marketing events sorted mail, boxed mail, worked the window, responsible for registered, certified, and other accountable mail, set up new computer system for mail boxes, worked with business reply customers to help them get their mail in a timely fashion and kept their accounts balanced; pretty much all jobs at one time or another"
2730,"Head Photographer, Marketing and Social Media Director Photo Manager Photographer","Head Photographer, in-charge of all Social Media Tools and Websites for Marketing; Web Manager, with complete knowledge of inventory and product listing. Take all product photos with complete Edit and product description Company Photographer"
2735,Operation & Security Supervisor,i am working as operation and security supervisor.
2736,Student Student,"I am currently working with a job coach to find a position in a Company that I will like ,   DVR ,,Training for Receptionist "
2741,Administrative Assistant Office Manager,"Manage the welcome area, including greeting foreign language visitors and respond to the telephone and in-person requests for information. Schedule and confirm appointments for the entire team. Handle and process confidential clients’ information. Draft meeting agendas, supply advance materials and execute follow-up for meetings and team conferences; prepare conference room. Maintain the welcome area in a neat and organized fashion. Make copies, send faxes and handle all incoming and outgoing correspondence.  Prepare monthly reports. High customer service proficiency. Earned exceptional ratings and testimonials from clients.

 Receive and organize incoming work, and expedite costumer orders to meet all delivery deadlines. Responsible for billing, profit-and-loss statements, balance sheets, accounting and processing of payroll. Handle all cash business and banking responsibilities."
2745,Medical Records Clerk,"Assisted patients with medical records
Phone
Computer
Assembled and scanned in-patient charts
File"
